uid,title,description,url,audio_url,image_url,collection,vendor,vendor_identifier
f0c341c6-cdc4-479d-8822-0e88f59ee9da,cy_audio_news_chunk_12_4,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_4.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_4.vtt
fa49f789-1f45-4719-bde5-d10aea11c8ad,cy_audio_news_chunk_12_5,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_5.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_5.vtt
c9db08e2-f6ea-42c6-95f9-2c2f742419be,cy_audio_news_chunk_12_6,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_6.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_6.vtt
82efa881-a79f-47b8-84a8-4f7b43d1ad56,cy_audio_news_chunk_12_7,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_7.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_7.vtt
518bf806-1e96-4982-a83e-8b83c873a85e,cy_audio_news_chunk_12_8,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_8.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_8.vtt
4aa242e6-d3e3-409b-9841-b00cb8312744,cy_audio_news_chunk_12_9,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_12_9.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_12_9.vtt
87f5eda5-6017-4897-9e68-069554e778d4,cy_audio_news_chunk_13_1,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_1.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_1.vtt
52a013e6-de2b-48f7-abb9-b8d5bbd5cc19,cy_audio_news_chunk_13_10,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_10.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_10.vtt
9d8239ee-cf70-4007-8a87-d72c99b18676,cy_audio_news_chunk_13_11,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_11.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_11.vtt
d5fe3949-e586-49dd-a888-9e851db334d1,cy_audio_news_chunk_13_12,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_12.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_12.vtt
913e0ea5-14a4-467d-abcb-08ead6df49e8,cy_audio_news_chunk_13_13,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_13.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_13.vtt
008cb32e-e41c-4d8e-ad0c-d7be9e378cf3,cy_audio_news_chunk_13_14,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_14.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_14.vtt
8ef7d6b8-71b7-4cfb-b1fb-8b6343b87e21,cy_audio_news_chunk_13_15,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_13_15.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_13_15.vtt
